id,start_time,start_time_local,end_time,end_time_local,duration,distance,user_id,score
190,2016-11-23 13:03:25+00:00,2016-11-23 08:03:25,2016-11-23 13:42:52+00:00,2016-11-23 08:42:52,39.0,11430.7,5,100.0
191,2016-11-23 13:56:32+00:00,2016-11-23 08:56:32,2016-11-23 14:23:37+00:00,2016-11-23 09:23:37,27.0,24176.0,5,16.88
192,2016-11-25 16:02:21+00:00,2016-11-25 11:02:21,2016-11-25 16:17:31+00:00,2016-11-25 11:17:31,15.0,2789.2,5,100.0
193,2016-11-19 19:31:36+00:00,2016-11-19 14:31:36,2016-11-19 19:43:26+00:00,2016-11-19 14:43:26,11.0,4486.21,5,78.88
194,2016-11-20 17:01:31+00:00,2016-11-20 12:01:31,2016-11-20 17:13:14+00:00,2016-11-20 12:13:14,11.0,1439.16,5,100.0
195,2016-11-25 17:09:33+00:00,2016-11-25 12:09:33,2016-11-25 17:21:22+00:00,2016-11-25 12:21:22,11.0,2773.89,5,100.0
196,2016-11-20 23:07:59+00:00,2016-11-20 18:07:59,2016-11-20 23:19:09+00:00,2016-11-20 18:19:09,11.0,7268.33,5,89.26
197,2016-11-30 13:02:05+00:00,2016-11-30 08:02:05,2016-11-30 13:39:25+00:00,2016-11-30 08:39:25,37.0,11151.6,5,93.3
198,2016-11-26 20:49:06+00:00,2016-11-26 15:49:06,2016-11-26 21:41:12+00:00,2016-11-26 16:41:12,52.0,54602.7,5,99.97
199,2016-11-29 13:11:17+00:00,2016-11-29 08:11:17,2016-11-29 13:40:56+00:00,2016-11-29 08:40:56,29.0,9017.18,5,95.95
200,2016-11-18 23:23:05+00:00,2016-11-18 18:23:05,2016-11-18 23:47:30+00:00,2016-11-18 18:47:30,24.0,19920.1,5,
201,2016-11-30 14:02:16+00:00,2016-11-30 09:02:16,2016-11-30 14:27:35+00:00,2016-11-30 09:27:35,25.0,24881.8,5,21.0
202,2016-11-23 21:41:59+00:00,2016-11-23 16:41:59,2016-11-23 22:07:46+00:00,2016-11-23 17:07:46,25.0,25507.5,5,70.91
203,2016-11-29 13:56:04+00:00,2016-11-29 08:56:04,2016-11-29 14:23:42+00:00,2016-11-29 09:23:42,27.0,22829.9,5,
204,2016-11-28 22:58:38+00:00,2016-11-28 17:58:38,2016-11-28 23:23:20+00:00,2016-11-28 18:23:20,24.0,22392.6,5,
205,2016-11-29 22:52:07+00:00,2016-11-29 17:52:07,2016-11-29 23:06:31+00:00,2016-11-29 18:06:31,14.0,14852.4,5,30.61
206,2016-11-30 13:25:37+00:00,2016-11-30 08:25:37,2016-11-30 14:26:32+00:00,2016-11-30 09:26:32,60.0,41928.7,6,100.0
207,2016-11-29 23:13:00+00:00,2016-11-29 18:13:00,2016-11-30 00:06:55+00:00,2016-11-29 19:06:55,53.0,39442.6,6,100.0
